Table 1
Agent that provides to QBIC;Existing property in OpenBIS;New property in OpenBIS;OpenBIS object type;Metadata Level;Specific metadata;SRA Structured comment name;SRA Item;EGA metadata object;EGA item;EGA label;Definition;Expected value;OpenBIS type;json type;Value syntax;Example;Section;migs_eu;migs_ba;migs_pl;migs_vi;migs_org;me;mimarks_s;mimarks_c;misag;mimag;miuvig;ega;Plant;Virus;SarsCov;PathogenEnv;PathogenCl;Microbe;Metagenome;Invertebrate;Human;BetaLactamase
QBIC/bioinfo pipeline;;;;;;fasta_file;name of assembly fasta file;;-;;Please provide the name of the custom assembly fasta file used during alignment (e.g. Mouse.fasta);;VARCHAR;string;{text}.fasta;mouse.fasta;;C;C;C;C;C;C;C;C;C;C;C;-;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;;;;;assembly_software;assembly software;;-;;Tool(s) used for assembly, including version number and parameters;name and version of software, parameters used;VARCHAR;string;"{software};{version};{parameters}";"metaSPAdes;3.11.0;kmer set 21,33,55,77,99,121, default parameters otherwise";sequencing;M;M;M;M;M;C;C;-;M;M;M;-;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;;;;;assembly_qual;assembly quality;;-;;"The assembly quality category is based on sets of criteria outlined for each assembly quality category. For MISAG/MIMAG; Finished: Single, validated, contiguous sequence per replicon without gaps or ambiguities with a consensus error rate equivalent to Q50 or better. High Quality Draft:Multiple fragments where gaps span repetitive regions. Presence of the 23S, 16S and 5S rRNA genes and at least 18 tRNAs. Medium Quality Draft:Many fragments with little to no review of assembly other than reporting of standard assembly statistics. Low Quality Draft:Many fragments with little to no review of assembly other than reporting of standard assembly statistics. Assembly statistics include, but are not limited to total assembly size, number of contigs, contig N50/L50, and maximum contig length. For MIUVIG; Finished: Single, validated, contiguous sequence per replicon without gaps or ambiguities, with extensive manual review and editing to annotate putative gene functions and transcriptional units. High-quality draft genome: One or multiple fragments, totaling ≥ 90% of the expected genome or replicon sequence or predicted complete. Genome fragment(s): One or multiple fragments, totalling < 90% of the expected genome or replicon sequence, or for which no genome size could be estimated";enumeration;CONTROLLEDVOCABULARY;string;[Finished genome|High-quality draft genome|Medium-quality draft genome|Low-quality draft genome|Genome fragment(s)];High-quality draft genome;sequencing;M;M;X;X;X;C;-;-;M;M;M;-;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;;;;;number_contig;number of contigs;;-;;Total number of contigs in the cleaned/submitted assembly that makes up a given genome, SAG, MAG, or UViG;value;INTEGER;number;{integer};40;sequencing;M;M;X;X;X;C;-;-;X;X;M;-;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;;;;;compl_score;completeness score;;-;;Completeness score is typically based on either the fraction of markers found as compared to a database or the percent of a genome found as compared to a closely related reference genome. High Quality Draft: >90%, Medium Quality Draft: >50%, and Low Quality Draft: < 50% should have the indicated completeness scores;"quality;percent completeness";CONTROLLEDVOCABULARY;string;"[high|med|low];{percentage}";"med;60%";sequencing;X;X;X;X;X;-;-;-;M;M;C;-;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;;;;;compl_software;completeness software;;-;;Tools used for completion estimate, i.e. checkm, anvi'o, busco;names and versions of software(s) used;VARCHAR;string;"{software};{version}";checkm;sequencing;X;X;X;X;X;-;-;-;M;M;X;-;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;;;;;contam_score;contamination score;;-;;"The contamination score is based on the fraction of single-copy genes that are observed more than once in a query genome. The following scores are acceptable for; High Quality Draft: < 5%, Medium Quality Draft: < 10%, Low Quality Draft: < 10%. Contamination must be below 5% for a SAG or MAG to be deposited into any of the public databases";value;INTEGER;number;{float} percentage;0.01;sequencing;-;-;-;-;-;-;-;-;M;M;-;-;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;;;;;num_replicons;number of replicons;;-;;Reports the number of replicons in a nuclear genome of eukaryotes, in the genome of a bacterium or archaea or the number of segments in a segmented virus. Always applied to the haploid chromosome count of a eukaryote;"for eukaryotes and bacteria: chromosomes (haploid count); for viruses: segments";INTEGER;number;{integer};2;nucleic acid sequence source;X;M;-;C;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;;;;;bin_param;binning parameters;;-;;The parameters that have been applied during the extraction of genomes from metagenomic datasets;enumeration;CONTROLLEDVOCABULARY;string;[homology search|kmer|coverage|codon usage|combination];coverage and kmer;sequencing;-;-;-;-;-;-;-;-;-;M;C;-;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;;;;;bin_software;binning software;;-;;Tool(s) used for the extraction of genomes from metagenomic datasets;enumeration;CONTROLLEDVOCABULARY;string;[metabat|maxbin|concoct|groupm|esom|metawatt|combination|other];concoct and maxbin;sequencing;-;-;-;-;-;-;-;-;-;M;C;-;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;;;;;vir_ident_software;viral identification software;;-;;Tool(s) used for the identification of UViG as a viral genome, software or protocol name  including version number, parameters, and cutoffs used;software name, version and relevant parameters;VARCHAR;string;"{software};{version};{parameters}";"VirSorter; 1.0.4; Virome database, category 2";sequencing;-;-;-;-;-;-;-;-;-;-;M;-;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;;;;;pred_genome_type;predicted genome type;;-;;Type of genome predicted for the UViG;enumeration;CONTROLLEDVOCABULARY;string;[DNA|dsDNA|ssDNA|RNA|dsRNA|ssRNA|ssRNA (+)|ssRNA (-)|mixed|uncharacterized];dsDNA;sequencing;-;-;-;-;-;-;-;-;-;-;M;-;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;;;;;pred_genome_struc;predicted genome structure;;-;;Expected structure of the viral genome;enumeration;CONTROLLEDVOCABULARY;string;[segmented|non-segmented|undetermined];non-segmented;sequencing;-;-;-;-;-;-;-;-;-;-;M;-;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;;;;;detec_type;detection type;;-;;Type of UViG detection;enumeration;CONTROLLEDVOCABULARY;string;[independent sequence (UViG)|provirus (UpViG)];independent sequence (UViG);sequencing;-;-;-;-;-;-;-;-;-;-;M;-;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;;;;;alias;Unique alias;Analysis;alias;;UNIQUE NAME FOR ANALYSIS;;VARCHAR;string;{text};;;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;;;;;analysis_title;Analysis title;Analysis;title;;title of the analysis;;VARCHAR;string;{text};;;-;-;-;-;-;-;-;-;-;-;-;M;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;;;;;description;Analysis description;Analysis;description;;description of the analysis;;VARCHAR;string;{text};;;-;-;-;-;-;-;-;-;-;-;-;M;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;;;;;analysis_type;Analysis type;Analysis;analysis_type;;BAM VCF or sample phenotype?;enumeration;CONTROLLEDVOCABULARY;string;[Reference Alignment (BAM)|Sequence Variation (VCF)|Sample phenotype];;;-;-;-;-;-;-;-;-;-;-;-;M;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;;;;;genome;reference genome;Analysis;genome;;Reference genome used;enumeration;CONTROLLEDVOCABULARY;string;[GRCh37.p1|GRCh37.p2|GRCh37.p3|GRCh37.p4|GRCh37.p5|GRCh37.p6|GRCh37.p7|GRCh37.p8|GRCh37.p9|GRCh37.p10|GRCh37.p11|GRCh37.p12|GRCh37.p13|GRCh38.p1|GRCh37.p2];;;-;-;-;-;-;-;-;-;-;-;-;C;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;;;;;experiment_type;Experiment type;Analysis;experiment_type;;Experiment type;enumeration;CONTROLLEDVOCABULARY;string;[Curation|Exome Sequencing|Genotyping by Array|Whole genome sequencing|transcriptomics];;;-;-;-;-;-;-;-;-;-;-;-;C;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;;;;;chromosome references;Reference chromosome;Analysis;chromosome references;;Reference chromosome used;enumeration;CONTROLLEDVOCABULARY;string;--->384 reference chromosomes<---;;;-;-;-;-;-;-;-;-;-;-;-;C;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;Q_FILE_TYPE;Q_NGS_RAW_DATA;Data Set;;analysis_filetype;filetype;Analysis;filetype;;File Type of the run;;VARCHAR;string;{text};;;-;-;-;-;-;-;-;-;-;-;-;M;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;Q_SECONDARY_NAME;;Q_NGS_RAW_DATA;Data Set;;analysis_filename;filename;Analysis;filename;;File name of the run;;VARCHAR;string;{text};;;-;-;-;-;-;-;-;-;-;-;-;M;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;Q_CHECKSUM;Q_NGS_RAW_DATA;Data Set;;analysis_checksum;checksum for analysis;Analysis;checksum;;Calculated checksum of the file;;VARCHAR;string;{integer};;;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;Q_UNENCRYPTED_CHECKSUM;Q_NGS_RAW_DATA;Data Set;;analysis_unencrypted_checksum;Unencrypted checksum for analysis;Analysis;unencrypted_checksum;;unencrypted checksum of the file;;VARCHAR;string;{integer};;;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;;;;;analysis_center;Analysis center;Analysis;analysis_center;;Center, where analysis was performed;;VARCHAR;string;[QBiC];;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
QBIC/bioinfo pipeline;;;;;;analysis_date;Analysis date;Analysis;analysis_date;;Date of the analysis;;TIMESTAMP;string;{timestamp};;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
